VIN,Manufacturer_name,Model_name,Model_year,Invoice_price,Description,CustomerID,Sold_date,Sold_price,Add_date,Type,Sold_by,Added_by
00AIVKIDO01487633,Lincoln,LS,2006,5315.01,,110,2020-12-13,6307.12,2020-7-17,VanMinivan,user19,user09
01WR7E2ZMCD216522,Mitsubishi,FE145,2006,2572,automatic safety features; ,5,2021-6-28,3761.09,2021-2-9,SUV,user10,user18
06XZOKN8UAY309163,SAAB,9-5,2004,1177.06,,56,2020-3-7,1263.15,2020-2-13,SUV,roland,user25
073HOEWCHAF741925,INFINITI,QX56,2013,4488.9,,53,2021-3-6,6395.17,2021-2-20,Car,user10,user18
07TSE0YYIZF380247,Honda,CR125R,2003,2262.77,good gear; disc brake; disc brake; ,55,2020-10-27,2271.02,2020-4-11,VanMinivan,user04,user20
07W0YPOJ5ME337155,Aston Martin,V8 VANTAGE,2009,3976.03,,170,2021-4-11,5541.84,2020-9-2,VanMinivan,user10,roland
0BT52YYB1L8670257,Mercedes-Benz,SLK350,2012,13651.83,coupe; ,56,2020-11-21,15835.96,2020-3-15,SUV,user32,user27
0EPPRCZZ8NW751990,Lotus,EXIGE,2010,4789.06,superturbocharger; crankcase; ,187,2020-12-6,5682.03,2020-7-22,Convertible,roland,user18
0I0Q707FJ2E520815,Chrysler,VOYAGER,2002,1561.77,supernew catalytic converter; ,153,2021-3-11,2110.63,2020-9-25,VanMinivan,user04,user03
0K0DP4SDKL0912273,BMW,ALPINA B7L XDRIVE,2013,3044.58,power train; ,15,2020-9-22,3323.71,2020-3-21,Convertible,user01,user27
0T8OJLNDGOE809956,Rolls-Royce,GHOST,2021,3972.65,four-wheel drive; high differential; strong muffler; ,,,,2020-6-26,VanMinivan,,user03
0UBBG820VBK445621,Volkswagen,LUPO,2007,3628.68,best possible traction; autotachometer; ,183,2021-4-21,3914.2,2020-2-27,Convertible,user21,user11
0VWWXBNXE6N897485,Jeep,GRAND CHEROKEE,2007,1006.68,ultra new transmission; best sedan; ,63,2020-10-1,1543.97,2020-4-18,SUV,user23,user25
0WPI14P1N3Y139809,INFINITI,EX35,2008,4256.41,automatic transmission; ,123,2021-1-29,4839.43,2021-1-16,Convertible,user01,user03
0YQVT1ME4G3999928,Bentley,ARNAGE,2002,1085.89,front wheel drive; ,180,2021-6-2,1900.06,2021-5-23,Truck,user21,user03
138J6387R5R404455,Chevrolet,W3500 TILTMASTER,2003,1492.24,all passive safety features; ,,,,2020-3-22,Truck,,user20
15G3KHMPQ6Q659826,Lotus,EVORA,2013,4054.4,anti-lock brake system (ABS); great stabilizer bar; ,104,2020-11-7,4525.43,2020-1-12,Car,user22,user05
1D5LRLSWAOI565071,Ford,ECONOLINE VAN,2012,4325.62,safe oil ring; ,,,,2020-10-10,SUV,,user14
1DQL1LHOWDJ517215,Subaru,OUTBACK,2004,1284.63,crumple zones; oversteer; ,188,2021-1-16,1293.88,2020-5-2,Truck,user06,user07
1EF7NFU0EUT973245,Toyota,SIENNA,2002,3105.79,check the Monroney sticker - theer is nothing better than this vehicle; ,102,2020-10-28,3005.66,2020-10-18,Truck,user10,user25
1FU8E0GMYMW270793,Tesla,S,2013,2654.48,,188,2020-5-9,3400,2020-3-31,Car,user21,user14
1NGZ4FLKC0Y272420,Lexus,ES350,2021,1135.53,high block; drive shaft; ,83,2021-6-5,2443.11,2020-6-9,Truck,user10,user25
1XHDZEREQ7I052484,MINI,COUNTRYMAN,2012,6000.85,broad wheelbase; ,128,2021-3-21,6786.62,2020-2-16,Convertible,user04,user16
20DS0RGMDXW132327,MAZDA,B2300,2007,1800.98,disc brake; drum brake; good gear; ,71,2021-6-9,1959.43,2021-6-7,SUV,user10,user26
21SSFP0O1TZ975822,Ferrari,ENZO,2004,2527.5,overdrive; ,65,2021-5-19,2942.34,2020-12-7,Convertible,user04,user18
222BHPCRR2U716446,Honda,CR-V,2001,2205.84,modern dashboard; ,192,2020-12-5,4007.78,2020-5-3,VanMinivan,user23,user14
23XU4U8IFDL261229,Jaguar,XK,2007,1812.08,original equipment manufacturer (OEM) parts; ,50,2021-2-24,3239.44,2020-9-10,Truck,user21,user05
26OCQWEQYJV636712,Cadillac,ESCALADE,2014,2573.46,can be used as sports car; ,105,2021-6-19,2519.51,2021-6-15,Car,user22,user26
26RIMRHVSQK619881,Cadillac,SRX,2006,1647.53,superturbocharger; electronic transmission; ,174,2020-11-26,1359.46,2020-7-5,Convertible,roland,user09
280ECEXOEHP375800,Subaru,IMPREZA,2001,1541.24,innovative air bags; ,163,2021-5-6,3306.53,2021-2-5,SUV,user10,roland
2GJ51MZ0A1N199895,Lamborghini,GALLARDO,2013,2743.31,best radiator; ,38,2021-2-22,4181.44,2020-6-26,Convertible,user21,user09
2H6ZZF8OOXC822443,Lotus,EXIGE,2008,4789.06,no backfire/backfiring; ,134,2020-6-29,4707.07,2020-6-10,Truck,user22,user27
2JFUVPW8OEP241581,Mercedes-Benz,R350,2008,3521.82,engine displacement; ,121,2021-6-4,3585.97,2020-9-14,VanMinivan,user22,user25
2JS82H11FSA911163,BMW,535XI,2008,4247.5,high torque; ,13,2021-4-15,4549.97,2020-10-26,Truck,user22,user11
2M2YYWOTASX195835,Audi,A6,2005,1754.25,no backfire/backfiring; ,,,,2020-5-31,Convertible,,user18
2MNNLWJKNT4620363,Freightliner,108SD,2013,2448.74,,87,2021-3-15,3710.95,2021-2-9,Car,user04,user07
2NMR3SMFNAZ813043,Lamborghini,GALLARDO,2020,2743.31,superturbocharger; disc brake; ,82,2021-6-21,2956.55,2020-10-28,Truck,user32,roland
2PLFCGV5R7I019543,Acura,CSX,2010,1291.57,no understeer; best radiator; ,,,,2020-10-10,VanMinivan,,user27
2PTE667K3PZ151997,Volkswagen,EUROVAN,2002,4051.61,best radiator; ,,,,2020-5-27,VanMinivan,,user26
2UL7JBUREY0725461,Kia,OPTIMA,2010,4319.61,,161,2021-5-31,4768.2,2021-5-13,SUV,user23,user27
2W7BN5RJGCI094698,Nissan,XTERRA,2013,10249.6,high block; ,21,2021-6-26,11315.92,2020-12-18,Convertible,user21,user14
2XMKC0W8ARB619752,Volkswagen,TOUAREG,2007,1655.83,,152,2020-7-12,2419.75,2020-5-27,Convertible,user01,user09
2ZGQSMRVMSR266772,Nissan,TITAN,2018,1175.9,broad wheelbase; crumple zones; high differential; ,124,2021-6-30,1354.38,2021-6-1,SUV,roland,user05
31C70O0QKDA098851,Land Rover,RANGE ROVER,2012,3972.38,,,,,2020-6-26,Car,,user11
36GPKZLLJM1116960,Maserati,GRANTURISMO,2017,4817.69,automatic torque converter; ,180,2020-4-26,5496.27,2020-3-15,Convertible,user04,user27
36HU6JXKV0B908236,Land Rover,RANGE ROVER,2007,3972.38,,139,2020-7-6,4559.97,2020-3-10,Car,user04,user11
3856NH1QBEC536316,Audi,A5,2012,1984.66,,183,2020-1-18,2243.57,2020-1-14,VanMinivan,user23,user27
3A03KTHXJ6O098081,Volvo,XC70,2005,3369.1,front axle assembly; automatic torque converter; ,189,2021-6-10,3485.45,2021-3-7,Car,user04,user26
3A3OOF2JN5W951740,Toyota,TUNDRA,2003,1763.04,sturdy rear axle assembly; ,61,2021-7-3,2686.69,2021-7-2,SUV,user32,user27
3BZD4P4QMXX657876,Freightliner,FC80,2005,2168.4,superturbocharger; ,62,2020-2-25,3285.81,2020-2-2,Convertible,roland,user26
3C8P2TNWAH7477883,Acura,NSX,2004,3536.16,engine displacement; wide transaxle; front axle assembly; ,195,2020-3-23,3359.43,2020-1-20,Convertible,user06,user18
3J73EOBU1AT381615,Ram,PROMASTER 1500,2014,6607.68,anti-lock brake system (ABS); ,167,2021-7-2,7097.88,2020-7-7,SUV,user21,user26
3JLCARWCAYY553033,Lincoln,MKZ,2010,1131.87,gap; ,186,2021-6-20,1246.74,2020-2-10,Truck,user21,user11
3LSIXEX21UG135253,Land Rover,LR2,2015,5110.4,strong muffler; ,26,2020-7-17,6301.2,2020-2-8,SUV,user23,user11
3PO4C2PYJG2012419,Subaru,IMPREZA,2009,2629.98,best possible traction; ,159,2021-6-9,3011.23,2021-6-1,Car,user32,user14
3WLVE4GIZOK699230,Lincoln,MARK LT,2007,1565.57,engine displacement; ,73,2021-7-3,4262.73,2021-6-25,Truck,user10,user26
40ZV2CDNP4T119176,MINI,COOPER,2008,2531.54,modern dashboard; ,181,2021-5-6,5317.24,2021-4-8,SUV,user06,user05
41D7ZAIOT2O903612,Dodge,RAM 4000,2005,4109.53,,,,,2020-9-27,VanMinivan,,user11
42RZCIYGO3E765775,Lamborghini,GALLARDO,2006,2743.31,best suspension; ,,,,2021-5-11,SUV,,user26
4AO3LKJSBVK865142,Audi,A3 QUATTRO,2006,3939,power train; ,116,2021-5-26,3794.77,2021-3-30,SUV,user01,user27
4ILM6P01OC4089888,Maserati,GRANSPORT,2005,3432.06,small spark plug gap; no backfire/backfiring; station wagon (Also known as wagon.); ,184,2021-2-11,3661.32,2021-1-19,Car,user19,user11
4J0U15MIVG3154225,Honda,TRX500FPE FOURTRAX FOREMAN 4X4 ES W,2009,2749.7,,108,2021-3-20,4355.85,2020-8-18,SUV,roland,user09
4JT7M5DVI8N560897,Freightliner,MT55,2005,1584.17,high torque; ,7,2021-6-13,1345.31,2021-2-26,Convertible,roland,user03
4M0LNVY3QN7194734,MINI,COOPER PACEMAN,2019,3002.73,all passive safety features; sturdy side impact beams; ,79,2020-6-11,3726.94,2020-6-6,VanMinivan,user32,user03
4MN32RC4IOG603247,Lincoln,MKS,2011,1102.12,automatic valves; ,131,2021-2-28,2638.2,2020-1-24,Car,user23,user07
4QJE0AIYWQG719639,Jaguar,VANDEN PLAS,2001,1423.06,front axle assembly; ,174,2021-7-3,2214.62,2021-5-26,VanMinivan,user32,user25
4U6EIHP6IVH261573,Ram,DAKOTA,2010,2960.28,high torque; ,137,2021-5-4,3626.51,2020-12-17,SUV,user06,user27
4VCO5FCED7G676135,Tesla,S,2015,2654.48,automatic safety features; ,151,2021-2-8,2983.47,2021-1-14,Car,user04,user05
4ZDD0PLHYQ2396481,BMW,F650GS DAKAR ABS,2005,1724.77,,173,2021-5-19,1748.3,2020-5-17,Car,user01,user25
517DV0QLBFR999628,Bentley,MULSANNE,2015,1557.58,gap; ,96,2021-4-29,1622.87,2020-11-17,VanMinivan,user22,roland
52RI0SIMIEO259872,Hyundai,EQUUS,2011,1361.52,drive shaft; ,43,2021-5-24,1950.84,2021-3-16,SUV,user01,user20
55BNEOM74SD548903,Ferrari,FF,2017,1800.15,manual transmission; ,8,2021-5-23,2886.07,2020-1-24,SUV,user32,user20
572N6O1FPHF266007,GMC,CANYON,2005,1318.35,,195,2021-3-21,1555.08,2021-1-2,Convertible,user04,user26
57QKKXRE3D4530992,Volvo,S80,2005,2654.27,,41,2021-5-18,2588.69,2021-3-17,Convertible,user21,user11
5BJ3ZR2EH6A861494,McLaren,MP4-12C,2018,5800.97,autotachometer; ,4,2020-9-9,8042.42,2020-7-28,Car,user04,user27
5BYUV0G3UUI083209,Aston Martin,V8 VANTAGE,2009,3976.03,no understeer; engine displacement; best sedan; ,162,2021-5-3,3884.37,2020-8-13,VanMinivan,user06,roland
5CB4NEI0MK5675645,Dodge,RAM 1500,2002,4949.98,no redline; ,145,2021-5-28,6015.46,2021-4-9,Convertible,user22,user11
5FJS67P7IPP595990,Jaguar,VANDEN PLAS,2005,1423.06,autotachometer; ,,,,2020-2-28,SUV,,user09
5NBXLBXN4X5470477,GMC,YUKON,2001,1232.23,,32,2021-6-27,2154.52,2021-6-19,SUV,roland,user26
5PIT4XQ2IDT961455,Honda,RIDGELINE,2006,1160.69,no understeer; rack and pinion steering; ,7,2020-9-27,2334.95,2020-8-19,SUV,user10,user09
5RCHA2RQSKN126776,BMW,520I,2016,3588.98,oversteer; ,49,2020-11-26,3785.84,2020-11-7,Truck,user10,user07
5T4361QO304945721,Lotus,ELISE,2010,3400.69,hatchback; ,93,2020-12-3,4867.61,2020-5-31,VanMinivan,user21,user11
5UQZITKQTP7241158,Freightliner,FL106,2003,5166.94,modern dashboard; detail; ,197,2021-1-11,5032.9,2020-10-14,SUV,user21,user03
5W5DTMZTE7I312231,Dodge,RAM 3500 PICKUP,2002,6365.84,,57,2020-8-24,6975.02,2020-3-30,SUV,user32,user25
60A35P7VZQO153588,Rolls-Royce,PHANTOM,2005,1706.99,engine displacement; ultra new transmission; innovative air bags; ,,,,2020-11-7,SUV,,user14
60R1UZM2YJQ922532,Jaguar,XKR-S,2020,5005.4,,65,2021-6-30,6504.39,2020-12-20,Convertible,user06,user16
61ZH3G2YGUO461519,Volvo,S40,2009,2065.21,automatic valves; ,32,2021-4-1,3189.05,2021-3-1,Car,user19,user25
62EPDI1EYYJ402081,GMC,SAVANA 2500,2001,3037.76,check the Monroney sticker - theer is nothing better than this vehicle; crankcase; ,173,2020-8-28,3145.13,2020-3-25,SUV,user06,user11
65AR6E3EWLS157544,FIAT,DUCATO,2014,1265.69,electronic transmission; ,101,2020-4-18,1652.99,2020-2-21,Convertible,user21,user03
68T41LUUBBY587797,Lamborghini,DIABLO,2001,5138.38,convertible; ,,,,2020-1-16,Truck,,user05
6ACP1HSTRBZ522953,Subaru,B9 TRIBECA,2006,1641.46,automatic valves; ,,,,2021-2-28,Convertible,,user03
6EO0EFPPJU8942538,Audi,S4,2005,4719.36,,91,2021-1-23,5807.24,2021-1-22,Truck,user04,user26
6FEEUSROFOI436591,Chevrolet,TAHOE,2002,6293.85,great rpms; wide chassis; ,88,2021-3-2,7161.07,2020-12-7,VanMinivan,user04,user25
6HE6INXKVOC685258,MAZDA,CX-5,2013,1745.11,anti-lock brake system (ABS); ,82,2021-6-24,2263.75,2021-5-19,Truck,user23,user25
6HTUBB0KRJ1407886,Mercedes-Benz,CL500,2013,2160.72,power train; best suspension; ,195,2021-5-8,2287.66,2020-11-27,Convertible,user08,roland
6MEJXRJQ5O7025667,Cadillac,ESCALADE,2003,2573.46,overdrive; ,101,2020-12-27,3293.82,2020-8-5,VanMinivan,user01,user27
6N4TXWYA8PC030787,Lexus,IS F,2010,1705.58,super new ignition system; ,85,2021-2-12,1437.11,2021-1-20,SUV,roland,user09
6OAIXJI3HM8002365,Porsche,CAYMAN,2021,6186.1,automatic torque converter; ,100,2020-11-12,6411.85,2020-9-3,SUV,user21,user16
6OGX85SZXHN770887,Acura,ILX,2020,6722.11,autotachometer; ,71,2020-10-1,9580.36,2020-4-30,SUV,user08,user20
6ONV5QC8SUL616218,Kia,OPTIMA,2013,4319.61,wide transaxle; ,83,2021-4-5,6045.3,2021-3-23,SUV,user32,roland
6OT5NQTDYEP073810,Volvo,XC70,2013,3369.1,best possible traction; ,11,2021-4-29,3897.01,2020-12-18,VanMinivan,user08,user14
6PM6SVF3CVX504384,INFINITI,QX56,2012,4488.9,best oil pump; ,169,2021-6-30,4084.16,2021-4-24,Car,roland,user27
6WN3XFUV8Z6152313,Mercedes-Benz,R320,2008,4510.97,high differential; ,90,2021-5-5,4796.55,2021-3-1,Convertible,user19,user18
73UHS1Z0DKT693966,smart,FORTWO,2010,4201.18,very hard struts; innovative air bags; ,156,2021-5-24,5931.14,2020-4-1,Car,user08,user03
75QOYF2KTKC266578,Subaru,BAJA,2003,1844.24,ultra new transmission; ,152,2020-7-27,3023.43,2020-4-2,Convertible,user19,user09
75VPS26W4QR001314,Nissan,X-TRAIL,2013,1175.09,very hard struts; ,132,2021-6-26,1667.87,2021-6-26,VanMinivan,user23,user14
7754T022K8E889647,Honda,CRF125FB BIG WHEEL,2017,10546.56,,40,2020-11-2,9114.65,2020-9-7,Truck,roland,user16
7BTXGZIH8NM209911,Acura,MDX,2010,1688.35,,,,,2020-12-12,Car,,user05
7I0HJOT53IT807735,Dodge,GRAND CARAVAN,2013,1043.48,minivan; engine displacement; wide transaxle; ,,,,2020-12-29,VanMinivan,,user26
7I23Y4E5RZ7655655,Dodge,DURANGO,2004,2533.66,best possible traction; super new ignition system; ,149,2021-7-1,4480.69,2021-4-20,Convertible,user06,user05
7KAYIOOSAYZ172761,Alfa Romeo,4C,2016,3543.33,best possible traction; ,10,2020-12-6,5442.24,2020-9-24,SUV,user06,user05
7PFC2F3KDN7669570,Lamborghini,DIABLO,2001,5138.38,innovative air bags; ,198,2021-6-2,5026.36,2020-5-28,Truck,user06,user14
7PL0G4ZAASO991142,Ford,FOCUS,2018,7174.13,wide chassis; ,164,2021-2-28,6840.39,2021-2-20,SUV,user04,user14
7U1WAVAPBF2458008,Chevrolet,COLORADO,2011,1474.42,air filtration system; ,146,2020-6-24,1476.96,2020-1-27,Truck,user22,user11
7WLNYOXO5P1099432,Lotus,EXIGE,2006,4789.06,coupe; ,25,2021-6-20,6102.2,2021-2-7,Convertible,user21,user09
7WNL4MP2M8Q856796,Hyundai,HMD 260,2003,2367.42,best suspension; ,79,2020-12-27,3207.51,2020-3-2,Car,user08,user27
7XKJRIZ0285479470,Dodge,SX 2.0,2005,4140.89,,177,2020-11-30,3970.6,2020-10-3,VanMinivan,user01,roland
7XQG7TYXPF4141639,Nissan,PATHFINDER,2006,3402.17,superturbocharger; ,175,2021-4-17,3467.96,2021-1-24,Car,user21,user09
83L3CNAESZD022827,Mitsubishi,FE125,2008,1104.39,very hard struts; ,130,2021-3-27,1210.37,2020-4-29,Truck,user06,user20
88PR6O51FFE411202,Volkswagen,TOUAREG,2011,1655.83,disc brake; power train; ,,,,2020-5-20,SUV,,user27
88WPSV7V73S064896,Honda,CB500F ABS,2014,2130.55,original equipment manufacturer (OEM) parts; ,129,2021-4-25,2547.31,2021-2-23,SUV,user06,user16
8AWRIWHIOB7240899,Mitsubishi,FK260,2009,1187.66,strong muffler; ,158,2021-5-14,2338.21,2020-11-6,Truck,user06,user16
8CQ47AK2LFM523345,Jeep,PATRIOT,2008,1501.48,can be used as sports car; ,18,2020-8-6,1216.14,2020-3-4,Car,roland,user18
8DPBPQ225LD772299,Lexus,RC350,2016,7278.85,,59,2021-4-5,7651.56,2021-3-2,SUV,user23,user03
8G3LUP7YDIR245248,Bentley,ARNAGE,2004,1085.89,crankcase; ,145,2021-6-17,3013.04,2020-6-3,SUV,user32,user07
8MRNKO3ZQ1T953377,Jaguar,XJ,2015,2202.21,rear wheel drive; ,9,2020-11-27,2272.39,2020-9-13,Convertible,user23,user03
8RS6MDUB5YB272372,Rolls-Royce,PHANTOM,2004,1706.99,minivan; high block; ,42,2021-2-20,1872.88,2020-12-28,SUV,user19,user03
8X1ZMNTEG8V581855,GMC,W3500 FORWARD,2001,1951.52,safe oil ring; ,149,2021-6-23,2018.77,2021-6-19,Convertible,user06,user07
8XDGH5D6D3X672052,Jaguar,XK,2010,1812.08,sturdy rear axle assembly; ,,,,2020-2-27,Car,,user05
AAVNFB47ECV285025,Freightliner,FL70,2002,2247.67,coupe; drive shaft; ,142,2021-5-1,2516.03,2020-7-19,SUV,user23,user26
AH0SCOKRL8K489145,Volvo,V40,2002,2563.52,supernew catalytic converter; ,88,2020-4-18,2502.33,2020-1-3,VanMinivan,roland,user25
AIMDPZ2KMND734997,INFINITI,QX56,2013,4488.9,hatchback; safe oil ring; ,169,2020-10-18,4604.62,2020-8-28,VanMinivan,user19,user26
AJ2JSVDYM0O897692,smart,FORFOUR,2006,1109.16,,72,2020-5-3,1328.51,2020-4-21,Convertible,user21,user25
AJLR6IODVV3757973,Toyota,TUNDRA,2003,1763.04,,182,2021-4-21,2280.7,2020-10-12,Convertible,user23,user20
AKKYTP5OU6P046110,Subaru,FORESTER,2012,4410.06,modern dashboard; ,,,,2020-4-25,Truck,,user18
AKYPYSGLLFN832831,Aston Martin,VANQUISH,2001,5080.04,,75,2021-2-14,6727.05,2020-10-6,Truck,user08,user03
AM7FZWLEUHK307952,Chrysler,PT CRUISER,2002,1565.29,fuel injection; ,137,2021-2-2,2966.77,2021-1-1,VanMinivan,user08,user03
AQ0GIPZWT34903578,Subaru,FORESTER,2009,10689.99,power train; ,,,,2020-8-5,VanMinivan,,user27
AQ744PRF6TR968003,Porsche,BOXSTER,2005,3077.71,normally aspirated; drum brake; anti-lock brake system (ABS); ,182,2020-9-30,2990.78,2020-3-16,Convertible,user06,roland
AUQIR5H4HRE068152,Ram,DAKOTA,2010,2960.28,,84,2021-5-16,4619.28,2020-7-24,Truck,user08,user05
AX3YE647F3S125807,BMW,650I GRAN COUPE,2021,6666.1,drive shaft; ,,,,2020-1-29,Car,,user14
AXJCCI3KSTC454653,Ford,E-350 ECONOLINE,2002,2573.9,,,,,2021-5-5,Convertible,,user20
AYMY58PYO6D565858,Bentley,ARNAGE,2008,1085.89,pickup; ,,,,2020-1-21,Truck,,user27
AZ1R666ZIWS777011,SAAB,9-2X,2006,1822.31,,37,2021-6-23,2357.37,2020-4-11,VanMinivan,user01,user18
AZA8YX5O3PY967382,Jaguar,XKR,2004,3936.03,front axle assembly; ,174,2021-4-7,4656.09,2020-9-6,Convertible,user22,user27
B4HYVLVNMCG170801,Rolls-Royce,WRAITH,2018,1973.54,wide cam; ,84,2021-4-23,2452.49,2021-4-16,VanMinivan,user21,user14
B6MT5EQQSFX854507,Kia,FORTE KOUP,2017,1387.34,high volume cylinder; ,55,2021-6-26,2005.85,2020-11-23,SUV,user32,user03
B6RK4XX6O4W718066,Freightliner,SPRINTER 3500,2005,5686.99,gap; ,199,2020-11-26,6552.95,2020-11-20,Convertible,user08,user20
B8R5GVJM8U6577878,Lotus,ELISE,2005,3400.69,no backfire/backfiring; ,52,2021-4-24,3854.01,2020-12-3,Truck,user10,user20
BEE6XDILLEY125933,Lexus,GX460,2020,2720.45,small spark plug gap; ,187,2021-6-21,3105.68,2021-4-28,VanMinivan,user08,user03
BEY7LC1EAWE388564,Audi,A6 QUATTRO,2001,1682.89,,,,,2021-2-10,SUV,,user05
BFTNOGUH70U239681,Mitsubishi,FE125,2011,1325.93,anti-lock brake system (ABS); ,139,2021-6-25,1687.03,2020-8-20,Truck,user23,user16
BJBHBZBQT6J386548,Mitsubishi,FE145CC,2009,1821.05,high volume cylinder; wide chassis; ,58,2021-3-12,2418.86,2020-6-20,SUV,user01,user27
BNWVPB0TCZ5369050,Audi,S3,2002,5624.89,disc brake; ,102,2020-10-27,5540.92,2020-7-28,VanMinivan,user22,user05
BO6V8DRDEV2627679,Toyota,CAMRY,2017,4299.84,small spark plug gap; ,188,2021-3-17,4092.19,2021-1-29,Car,user19,user05
BQF4UKW5KVG474674,INFINITI,Q60,2018,3048.54,sport utility vehicle-SUV; ,,,,2020-2-27,SUV,,user14
BROGP21GT25414842,Hyundai,ACCENT,2007,4873.55,rack and pinion steering; ,121,2021-5-18,4729.32,2021-1-21,Truck,user21,user16
BSAQRUZ4AQV214478,Mercedes-Benz,GL350,2011,2192.52,sturdy rear axle assembly; ,164,2020-8-6,3220.03,2020-5-5,Convertible,user32,user09
BTDUIDGMG7U029512,Freightliner,CLASSIC XL,2004,2937.38,superturbocharger; ,,,,2020-5-25,SUV,,user16
C15AQKT03T5311862,Acura,EL,2001,1204.33,broad wheelbase; ,83,2021-2-4,2738.42,2020-2-6,Car,user06,user14
C2JK28BV6S1248001,Chevrolet,SILVERADO 3500 HD,2007,2888.35,anti-lock brake system (ABS); ,193,2021-6-22,3032.71,2021-5-26,Truck,user22,user16
C2SS48P7UYI831488,Jaguar,XFR,2016,3974.39,sturdy rear axle assembly; hydraulic brakes; ,170,2021-5-9,5294.39,2021-3-1,Truck,user21,user18
CF4BITIJB4X481530,SAAB,9-7X,2009,4893.46,normally aspirated; ,,,,2020-7-21,Convertible,,user14
CJJ5SBM35DI082557,Mercedes-Benz,CL55 AMG,2001,3555.84,innovative air bags; ,40,2021-6-15,4493.39,2021-6-5,Truck,user22,user18
COPRS63UGGH984959,Kia,AMANTI,2007,5733.81,automatic safety features; ,192,2021-6-2,6518.6,2020-5-3,SUV,user21,user07
CQ7SBSA7JFD966361,Audi,Q3,2019,5917.97,strong muffler; ,80,2021-1-29,7223.32,2020-12-19,SUV,user08,roland
D1YNI86BAFG479600,MINI,COOPER,2005,2531.54,sturdy rear axle assembly; ,159,2020-11-30,3140.83,2020-11-29,Truck,user21,user14
D44SOXOWG6K878614,Ferrari,612 SCAGLIETTI,2009,2452.04,disc brake; ,86,2021-6-16,3200.51,2020-12-28,SUV,user23,user27
